Habitat Description	Technical Difficulty Creation	Technical Difficulty Enhancement
Sparsely vegetated land - Coastal vegetated shingle	Very High	Medium
Sparsely vegetated land - Inland rock outcrop and scree habitats	High	Low
Sparsely vegetated land - Limestone pavement	Very High	Medium
Sparsely vegetated land - Maritime cliff and slopes	High	Medium
Sparsely vegetated land - Other inland rock and scree	Medium	Medium
Sparsely vegetated land - Ruderal/Ephemeral	Low	Medium
Urban - Vacant/derelict land/ bareground	Low	Low
Urban - Allotments	Low	Low
Urban - Artificial unvegetated, unsealed surface	Low	Low
Urban - Bioswale	Medium	Low
Urban - Brown roof	Medium	Low
Urban - Built linear features	Low	Low
Urban - Cemeteries and churchyards	Medium	Low
Urban - Developed land; sealed surface	Low	Medium
Urban - Extensive green roof	Low	Low
Urban - Facade-bound green wall	Medium	Medium
Urban - Ground based green wall	Medium	Medium
Urban - Ground level planters	Low	Low
Urban - Intensive green roof	Medium	Medium
Urban - Introduced shrub	Low	Low
Urban - Open Mosaic Habitats on Previously Developed Land	Medium	Medium
Urban - Rain garden	Low	Low
Urban - Sand pit quarry or open cast mine	Medium	Medium
Urban - Urban Tree	Low	Low
Urban - Sustainable urban drainage feature	Medium	Medium
Urban - Un-vegetated garden	Low	Low
Urban - Vegetated garden	Low	Low
Wetland - Blanket bog	Very High	High
Wetland - Depressions on Peat substrates (H7150)	Very High	High
Wetland - Fens (upland and lowland)	High	High
Wetland - Lowland raised bog	Very High	High
Wetland - Oceanic Valley Mire[1] (D2.1)	Very High	High
Wetland - Purple moor grass and rush pastures	High	High
Wetland - Reedbeds	Medium	Medium
Wetland - Transition mires and quaking bogs (H7140)	Very High	High
Woodland and forest - Felled	Low	Low
Woodland and forest - Lowland beech and yew woodland	High	High
Woodland and forest - Lowland mixed deciduous woodland	High	High
Woodland and forest - Native pine woodlands	High	High
Woodland and forest - Other coniferous woodland	Low	Low
Woodland and forest - Other Scot's Pine woodland	Medium	Medium
Woodland and forest - Other woodland; broadleaved	Low	Low
Woodland and forest - Other woodland; mixed	Low	Low
Woodland and forest - Upland birchwoods	Medium	Medium
Woodland and forest - Upland mixed ashwoods	High	High
Woodland and forest - Upland oakwood	High	High
Woodland and forest - Wet woodland	Medium	Medium
Woodland and forest - Wood-pasture and parkland	Very High	High
Intertidal sediment - Littoral sand	Medium	Medium
Intertidal sediment - Littoral muddy sand	High	Medium
Intertidal Hard Structures - Artificial hard structures	Medium	Medium
Intertidal Hard Structures - Artificial features of hard structures	Medium	Medium
Intertidal Hard Structures - Artificial hard structures with Integrated Greening of Grey Infrastructure (IGGI)	Medium	Medium
Coastal saltmarsh - Artificial saltmarshes and saline reedbeds	High	Medium
Intertidal sediment - Littoral biogenic reefs - Mussels	High	Medium
Intertidal sediment - Artificial littoral mud	High	Medium
Intertidal sediment - Artificial littoral sand	Medium	Medium
